"chunk_syntagm_id","chunk_id","keyword","syntagmid","createduser","createddate","updateduser","updateddate","deleteduser","deleteddate","isdeleted"
"120","7946","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"121","3982","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"122","4007","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"123","10096","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"124","4136","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"125","9348","air","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"126","10126","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"127","4471","air","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"128","4473","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"129","4598","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"130","10146","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"131","4624","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"132","8144","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"133","4671","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"134","4819","air","27","admin","25/11/2025 15:44:17.661766",,,,,"f"
"135","11712","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"136","10173","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"137","11821","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"138","5067","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"139","11823","air","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"140","5086","air","17","admin","25/11/2025 15:44:17.661766",,,,,"f"
"141","8258","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"142","5238","air","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"143","12295","air","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"144","11226","air","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"145","9510","air","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"146","5522","air","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"147","5576","air","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"148","10706","air","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"149","5798","air","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"150","5924","air","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"151","5925","air","10","admin","25/11/2025 15:44:17.661766",,,,,"f"
"152","10718","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"153","6335","air","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"154","12622","air","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"155","6588","air","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"156","5703","airport","6","admin","25/11/2025 15:44:17.661766",,,,,"f"
"157","8579","airport","2","admin","25/11/2025 15:44:17.661766",,,,,"f"
"158","7166","alarm","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"159","1239","alarm","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"160","1657","alarm","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"161","3657","alarm","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"162","4009","alarm","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"163","4075","alarm","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"164","5374","alarm","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"165","5495","alarm","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"166","6460","alarm","4","admin","25/11/2025 15:44:17.661766",,,,,"f"
"167","12149","alarm","30","admin","25/11/2025 15:44:17.661766",,,,,"f"
"168","8157","alarm","30","admin","25/11/2025 15:44:17.661766",,,,,"f"
"169","11584","alarm","30","admin","25/11/2025 15:44:17.661766",,,,,"f"
"170","7667","allow","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"171","9743","allow","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"172","11633","allow","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"173","4680","allow","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
"174","524","alone","36","admin","25/11/2025 15:44:17.661766",,,,,"f"
"175","1549","ancient","3","admin","25/11/2025 15:44:17.661766",,,,,"f"
"176","7242","ancient","30","admin","25/11/2025 15:44:17.661766",,,,,"f"
"177","3025","ancient","30","admin","25/11/2025 15:44:17.661766",,,,,"f"
"178","3031","ancient","30","admin","25/11/2025 15:44:17.661766",,,,,"f"
"179","4717","ancient","30","admin","25/11/2025 15:44:17.661766",,,,,"f"
"180","1550","animal","3","admin","25/11/2025 15:44:17.661766",,,,,"f"
"181","3338","animal","8","admin","25/11/2025 15:44:17.661766",,,,,"f"
"182","9729","animal","8","admin","25/11/2025 15:44:17.661766",,,,,"f"
"183","149","animal","44","admin","25/11/2025 15:44:17.661766",,,,,"f"
"184","4893","animal","5","admin","25/11/2025 15:44:17.661766",,,,,"f"
"185","9488","animal","3","admin","25/11/2025 15:44:17.661766",,,,,"f"
"186","1633","answer","7","admin","25/11/2025 15:44:17.661766",,,,,"f"
"187","2987","answer","34","admin","25/11/2025 15:44:17.661766",,,,,"f"
